DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT,Porcentaje BTC,Porcentaje ETH,Porcentaje USDT,Porcentaje BNB,Porcentaje XRP,Porcentaje USDC,Porcentaje SOL,Porcentaje ADA,Porcentaje DOGE,Porcentaje TRX,Porcentaje Otros
2022-04-16,1884081931511.96,63399692524.91,770917140007.3345,366032784557.7553,82715486385.53639,68853309778.99527,37832449783.25394,50186897590.79293,33772511487.908836,32211081139.26884,19362593399.051373,6262446279.295561,415935231102.76685,1988562698719.3584,881806400511.6211,360940202351.3935,67133622551.892204,0.4091738937216387,0.19427646878605595,0.043902276754577176,0.0365447535095998,0.02008004490170643,0.02663732226895163,0.01792518198017359,0.017096433334732805,0.010276938107204847,0.003323871523076494,0.22076281511228257
2022-04-17,1865156451680.26,60664490185.37,762393151942.0787,362846850421.6227,82728514649.03807,67970202331.1269,37002683981.46271,50096429678.66831,33567648673.562004,31546962294.365486,18919211264.016342,6185749389.324616,411899047054.99414,1988575540826.0151,880837211514.0039,361286718690.50977,67244922727.49139,0.4087556039898224,0.1945396323695771,0.04435473205183972,0.03644209163788631,0.01983891697027784,0.026859103231548234,0.017997229478160924,0.01691384241034892,0.010143498282394824,0.003316477491071632,0.22083887208707198
2022-04-18,1846230971848.56,57929287845.83,753869163876.823,359660916285.4901,82741542912.53975,67087094883.25853,36172918179.67148,50005961766.54369,33362785859.215176,30882843449.462128,18475829128.98131,6109052499.353672,407862863007.22144,1988588382932.672,879868022516.3866,361633235029.6261,67356222903.09057,0.40832873858789337,0.19480819126621815,0.044816463472982376,0.03633732501848715,0.01959284549508609,0.027085431091254334,0.018070754075699587,0.01672750805309063,0.010007322708101996,0.0033089318684957998,0.2209164883626904
2022-04-19,1886054474216.955,69430607423.305,771078638999.4595,366447191082.00366,82788617375.3785,67955818744.18798,36699591766.20627,50027496096.73429,34779181119.80669,31479067301.3935,18682242720.204304,6263373597.125406,419853255414.45483,1989134887400.9626,879247081918.7084,362051902497.28107,67466989466.131905,0.4088315844215438,0.19429300483706538,0.043895135854838105,0.03603067656484398,0.019458394371903318,0.026524947598612982,0.018440178475887435,0.016690433776820186,0.009905462952209123,0.003320886900536534,0.22260929424573905
2022-04-20,1925877976585.35,80931927000.78,788288114122.0961,373233465878.5172,82835691838.21724,68824542605.11743,37226265352.74106,50049030426.92488,36195576380.39819,32075291153.324875,18888656311.427296,6417694694.8971405,431843647821.6887,1989681391869.2532,878626141321.0302,362470569964.9361,67577756029.17324,0.40931363445972774,0.19379912456357873,0.043011910850700864,0.035736709927565495,0.019329503636956555,0.025987643576289077,0.018794324884785395,0.0166548927519258,0.009807815729279771,0.0033323475178193484,0.22423209210137118
2022-04-21,1897921416471.7202,92717927352.33499,778356385963.5713,366133268263.34766,82925176614.89786,67413549630.72362,36187008584.919266,49961267307.93126,35047683324.53977,31362700471.775818,18476636472.652306,6816125490.722108,425241614346.63916,1989852124536.401,877780385216.7073,362840536671.9514,67688661034.79043,0.4101099124591543,0.19291276503112434,0.04369262915482437,0.03551967381033455,0.019066652744870623,0.02632420229537765,0.01846635114624199,0.01652476240564259,0.009735195731655107,0.0035913633892142084,0.2240564918315603
2022-04-22,1869964856358.09,104503927703.89,768424657805.0466,359033070648.17816,83014661391.57849,66002556656.3298,35147751817.09748,49873504188.93764,33899790268.68135,30650109790.22676,18064616633.87732,7214556286.547075,418639580871.58936,1990022857203.5488,876934629112.3845,363210503378.96674,67799566040.407616,0.41092999966941446,0.19199990279358753,0.04439370136252526,0.03529614817728457,0.01879594244650705,0.02667082433092907,0.018128570787530184,0.0163907410805144,0.009660404350624879,0.0038581239973664613,0.22387564100371615
2022-04-23,1853426354472.955,79751585281.18,759895370405.5902,356550433433.3678,83074219444.93483,65767972390.1447,34599244615.170334,49878610754.50574,33752964912.069138,30322710304.042778,17940849367.822105,7049049304.271803,414594929541.03564,1990114826170.4268,876094199907.8745,363573458408.6011,67909108133.63194,0.4099949094668377,0.19237367191466173,0.04482196945373534,0.035484535024239816,0.018667720210015608,0.026911568746247456,0.018211117388404252,0.01636035347768939,0.009679828564282938,0.0038032529791432084,0.22369107277474265
2022-04-24,1836887852587.82,54999242858.47,751366083006.1338,354067796218.5575,83133777498.29118,65533388123.95959,34050737413.24318,49883717320.07383,33606139555.45693,29995310817.858795,17817082101.766895,6883542321.99653,410550278210.4817,1990206795137.3044,875253770703.3645,363936413438.2355,68018650226.85628,0.40904298101139064,0.19275417152971228,0.0452579494067489,0.035676314169989044,0.018537189064249223,0.02715664826777384,0.018295150413299523,0.016329418682583804,0.00969960255149277,0.0037473938935896106,0.22350318100917044
2022-04-25,1851814588642.145,78313189799.3,760714360797.4343,358475228496.4042,83135131318.39722,65844623248.7288,33734623651.932396,49905232142.39235,33690645006.012558,30162937888.36161,19352525086.547844,6760842678.5633545,410038438327.3706,1990419530130.2212,874500109976.6372,364329364132.422,68127578787.49666,0.4107940208826376,0.19358051864104733,0.044893874272454344,0.03555681203322293,0.018217063338219257,0.026949367635658212,0.018193314391543074,0.016288314215344192,0.010450573834574987,0.0036509285108941637,0.2214252122444038
