DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,MA200,MA200/BTC,MA200/ETH,MA200/USDT,MM,NVT-smooth
2020-08-06 02:00:00,355796884138.52,90590726287.11,217042811457.95895,45097769970.799904,10018182665.250631,3364383925.3909464,13604413345.521812,1075887471.368726,30282517.84044125,3693454205.37742,441189748.2020557,1462833378.687049,246271002400.76685,161772009485.51773,21722822802.085518,5539753465.232173,1.3416586228249159,4.415807457385591
2020-08-08 02:00:00,350215991454.09,98814483385.34,214119516878.09012,42463745924.112114,10039525906.256529,3218070678.603195,13212442389.312595,1106876893.0972002,35944124.64568133,3603567793.843227,444450260.93349344,1425806035.3783226,246429993178.5642,161847512904.60425,21783726307.304432,5571608614.227314,1.3229706965240542,4.340842112908281
2020-08-10 02:00:00,357297704990.78,73461663443.91,215677731899.91626,43908080747.57308,10025687682.813393,3243148538.1915846,12947140791.824669,1145077546.9308112,45944480.83190557,3778021219.611229,435403492.71472913,1469401124.5092757,246618168537.65024,161930303260.15753,21849820945.30442,5603228505.612592,1.3319170504695963,4.322181459561113
2020-08-12 02:00:00,348972550558.98,109899478616.04,210409469911.39557,42554284743.30042,10053788208.073378,3073731391.7565928,12736957332.340445,1131460580.8398368,56328652.62587772,3557615293.4610167,427488962.28676337,1440556798.8750386,246637518848.56924,161887628196.7298,21895293075.152714,5634592276.788545,1.2997254469359503,4.239875267995539
2020-08-14 02:00:00,369417711004.01,121835451295.89,217940001189.5375,0.0,10204687969.24608,3202512013.123764,13409731361.743935,1181489385.6124022,65147936.02432797,3671847812.6971116,443134734.536822,1631136255.4985528,246821683601.0081,161898262739.63855,21740638616.030643,5666372543.616433,1.3461540445311888,4.125801040485895
2020-08-16 02:00:00,372982747508.72,103148119966.54,219039737204.5783,48604172041.80203,10004307330.508085,3320979624.120728,13457338639.03404,1197805277.1059487,93120172.79889727,3584711398.83476,445626191.37939507,1807568620.6146188,247073458968.2104,161940091489.58817,21836089668.791847,5696841802.698559,1.3525973413363257,3.9525485461292007
2020-08-18 02:00:00,383377492060.84,115281734292.5,226552433075.6775,48342621667.141655,9975134407.604004,3395231504.9679317,14107759538.023035,1215512393.1610484,90700336.93246157,3648455834.699012,452850546.1067197,2182184815.898519,247596256918.9696,162159651903.62375,21956030080.484146,5727098793.986748,1.3970949642289825,3.7975884083687284
2020-08-20 02:00:00,365420906813.08,106561349405.99,216985278146.26938,46029983315.08099,9995353269.131258,3233590453.345445,13097046390.809391,1272684346.8432696,91336710.281309,3357345559.5448833,431885202.98248076,1908628173.4248335,248146951743.00443,162399364424.98566,22079475019.47369,5757445695.963046,1.336121473840482,3.699032228476359
2020-08-22 02:00:00,358605318729.22,110529262939.47,213772242731.074,43695027621.43998,10022251367.694025,3192504030.044283,12580326523.18753,1333503006.8531137,92661346.09462264,3212781732.9056673,426740743.4086469,1742400525.7292974,248494929872.02832,162516769505.5914,22176602609.67162,5787540814.545741,1.3153857499223744,3.6047643639983407
2020-08-24 02:00:00,363519561203.83,76834148022.63,215332195088.36838,43890316480.766205,10028091607.65298,3154315654.1538672,12804788553.733715,1350448637.1503394,103101374.87660706,3154824025.665843,429903441.9843138,1746528532.0303395,248844030631.36774,162633813771.13257,22273773751.954533,5817430014.75375,1.3240309016635121,3.6756458498874607
2020-08-26 02:00:00,354049798580.44,107729913774.56,209693462276.24927,43009276248.99682,10030972447.868729,3098284725.635396,12457164918.304348,1377664475.24792,102419731.82257293,2932275970.153652,415075243.00341797,1650828901.1304266,249202345607.28687,162760987964.5233,22372572243.610428,5847420257.001516,1.2883521100397581,3.6831644015649077
2020-08-28 02:00:00,352749467573.2,97304102328.88,209307533523.122,42978558759.59515,10018156551.495207,3342704965.4890695,11908953679.833277,1421111054.4435165,111479330.83801879,2767959530.155098,403495590.27719057,1657938391.8842368,249608351416.3372,162933423383.7389,22471585917.65625,5877310397.282737,1.2846199949421264,3.6632184369794403
2020-08-30 02:00:00,363413622317.6,81595839844.7,212317146503.0612,44936714530.4188,10025643534.465586,3321931653.970873,12344641863.127914,1463353887.9188962,128017267.95671177,3025284290.352655,413357565.7473079,1791587608.1761198,250056037376.22717,163115009491.97107,22578785078.874466,5907230005.960798,1.3016407696896342,3.7359535854664387
