DateTime,Market cap
2013-12-13,11970100224.0
2013-12-14,11969500160.0
2013-12-15,11968900096.0
2013-12-16,10831255040.0
2013-12-17,9693609984.0
2013-12-18,8339980032.0
2013-12-19,6986350080.0
2013-12-20,7606040064.0
2013-12-21,8225730048.0
2013-12-22,8242429952.0
2013-12-23,8259129856.0
2013-12-24,8653524736.0
2013-12-25,9047919616.0
2013-12-26,9839559680.0
2013-12-27,10631199744.0
2013-12-28,10365449728.0
2013-12-29,10099699712.0
2013-12-30,10322749952.0
2013-12-31,10545800192.0
2014-01-01,10653250048.0
2014-01-02,10760699904.0
2014-01-03,11081750016.0
2014-01-04,11402800128.0
2014-01-05,12139250176.0
2014-01-06,12875700224.0
2014-01-07,11839150080.0
2014-01-08,10802599936.0
2014-01-09,11157449728.0
2014-01-10,11512299520.0
2014-01-11,12057600000.0
2014-01-12,12602900480.0
2014-01-13,12086450176.0
2014-01-14,11569999872.0
2014-01-15,11692899840.0
2014-01-16,11815799808.0
2014-01-17,11507049984.0
2014-01-18,11198300160.0
2014-01-19,11600950272.0
2014-01-20,12003600384.0
2014-01-21,11988450304.0
2014-01-22,11973300224.0
2014-01-23,11652450304.0
2014-01-24,11331600384.0
2014-01-25,11544500224.0
2014-01-26,11757400064.0
2014-01-27,11208750080.0
2014-01-28,10660100096.0
2014-01-29,11023699968.0
2014-01-30,11387299840.0
2014-01-31,11449299968.0
2014-02-01,11511300096.0
2014-02-02,11464150016.0
2014-02-03,11416999936.0
2014-02-04,11432099840.0
2014-02-05,11447199744.0
2014-02-06,11106949632.0
2014-02-07,10766699520.0
2014-02-08,10024324608.0
2014-02-09,9281949696.0
2014-02-10,9381899776.0
2014-02-11,9481849856.0
2014-02-12,9284914688.0
2014-02-13,9087979520.0
2014-02-14,9138194944.0
2014-02-15,9188410368.0
2014-02-16,8892930048.0
2014-02-17,8597449728.0
2014-02-18,8677154816.0
2014-02-19,8756859904.0
2014-02-20,8277430016.0
2014-02-21,7798000128.0
2014-02-22,8127300096.0
2014-02-23,8456600064.0
2014-02-24,7957595136.0
2014-02-25,7458590208.0
2014-02-26,7793305088.0
2014-02-27,8128019968.0
2014-02-28,7953305088.0
2014-03-01,7778590208.0
2014-03-02,7902110208.0
2014-03-03,8025630208.0
2014-03-04,8986615040.0
2014-03-05,9947599872.0
2014-03-06,9744045056.0
2014-03-07,9540490240.0
2014-03-08,9188774912.0
2014-03-09,8837059584.0
2014-03-10,8947619840.0
2014-03-11,9058180096.0
2014-03-12,9081375232.0
2014-03-13,9104570368.0
2014-03-14,9055495168.0
2014-03-15,9006419968.0
2014-03-16,9000260096.0
2014-03-17,8994100224.0
2014-03-18,8928130048.0
2014-03-19,8862159872.0
2014-03-20,8617619968.0
2014-03-21,8373080064.0
2014-03-22,8267239936.0
2014-03-23,8161399808.0
2014-03-24,8269394944.0
2014-03-25,8377390080.0
2014-03-26,8311385088.0
2014-03-27,8245380096.0
2014-03-28,7647585024.0
2014-03-29,7049789952.0
2014-03-30,6780444928.0
2014-03-31,6511099904.0
2014-04-01,6618619904.0
2014-04-02,6726139904.0
2014-04-03,6479944960.0
2014-04-04,6233750016.0
2014-04-05,6358889984.0
2014-04-06,6484029952.0
2014-04-07,6368225024.0
2014-04-08,6252420096.0
2014-04-09,6217110016.0
2014-04-10,6181799936.0
2014-04-11,6036294912.0
