DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT
2013-04-29,1583440000.0,0.0,1491167008.9733124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92272991.02668762,0.0,0.0,0.0,0.0
2013-04-30,1610414976.0,0.0,1516992058.5317612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93422917.46823885,0.0,0.0,0.0,0.0
2013-05-01,1637389952.0,0.0,1542817108.0902102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94572843.9097898,0.0,0.0,0.0,0.0
2013-05-02,1456400000.0,0.0,1361442694.670105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94957305.32989502,0.0,0.0,0.0,0.0
2013-05-03,1275410048.0,0.0,1180068281.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95341766.75,0.0,0.0,0.0,0.0
2013-05-04,1305395008.0,0.0,1217415215.354252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87979792.64574814,0.0,0.0,0.0,0.0
2013-05-05,1335379968.0,0.0,1254762149.4585035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80617818.54149652,0.0,0.0,0.0,0.0
2013-05-06,1324640000.0,0.0,1251614549.729252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73025450.27074814,0.0,0.0,0.0,0.0
2013-05-07,1313900032.0,0.0,1248466950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65433082.0,0.0,0.0,0.0,0.0
2013-05-08,1323769984.0,0.0,1254221173.0161667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69548810.98383331,0.0,0.0,0.0,0.0
2013-05-09,1333639936.0,0.0,1259975396.0323334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73664539.96766663,0.0,0.0,0.0,0.0
2013-05-10,1361879936.0,0.0,1285513417.269516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76366518.73048401,0.0,0.0,0.0,0.0
2013-05-11,1390119936.0,0.0,1311051438.5066986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79068497.49330139,0.0,0.0,0.0,0.0
2013-05-12,1372824960.0,0.0,1295513866.877365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77311093.12263489,0.0,0.0,0.0,0.0
2013-05-13,1355529984.0,0.0,1279976295.2480316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75553688.75196838,0.0,0.0,0.0,0.0
2013-05-14,1325129984.0,0.0,1261370393.635273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63759590.36472702,0.0,0.0,0.0,0.0
2013-05-15,1294729984.0,0.0,1242764492.0225143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51965491.97748566,0.0,0.0,0.0,0.0
2013-05-16,1339600000.0,0.0,1281177266.4011955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58422733.59880448,0.0,0.0,0.0,0.0
2013-05-17,1384470016.0,0.0,1319590040.7798767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64879975.22012329,0.0,0.0,0.0,0.0
2013-05-18,1416644992.0,0.0,1347980811.8831637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68664180.11683655,0.0,0.0,0.0,0.0
2013-05-19,1448819968.0,0.0,1376371582.9864502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72448385.0135498,0.0,0.0,0.0,0.0
2013-05-20,1444555008.0,0.0,1370154027.4813652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74400980.5186348,0.0,0.0,0.0,0.0
2013-05-21,1440290048.0,0.0,1363936471.9762802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76353576.02371979,0.0,0.0,0.0,0.0
2013-05-22,1446940032.0,0.0,1374359988.0560875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72580043.9439125,0.0,0.0,0.0,0.0
2013-05-23,1453590016.0,0.0,1384783504.1358948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68806511.86410522,0.0,0.0,0.0,0.0
2013-05-24,1508004992.0,0.0,1437367459.980011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70637532.01998901,0.0,0.0,0.0,0.0
2013-05-25,1562419968.0,0.0,1489951415.8241272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72468552.1758728,0.0,0.0,0.0,0.0
2013-05-26,1567875008.0,0.0,1492737576.6620636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75137431.3379364,0.0,0.0,0.0,0.0
2013-05-27,1573330048.0,0.0,1495523737.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77806310.5,0.0,0.0,0.0,0.0
2013-05-28,1544610048.0,0.0,1470856599.6557236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73753448.34427643,0.0,0.0,0.0,0.0
2013-05-29,1515890048.0,0.0,1446189461.811447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69700586.1885531,0.0,0.0,0.0,0.0
2013-05-30,1510820032.0,0.0,1445621764.1805649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65198267.81943512,0.0,0.0,0.0,0.0
2013-05-31,1505750016.0,0.0,1445054066.5496826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60695949.45031738,0.0,0.0,0.0,0.0
2013-06-01,1508380032.0,0.0,1448489981.6591263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59890050.34087372,0.0,0.0,0.0,0.0
2013-06-02,1511010048.0,0.0,1451925896.7685697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59084151.23143029,0.0,0.0,0.0,0.0
2013-06-03,1473865024.0,0.0,1404472583.3423617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69392440.65763855,0.0,0.0,0.0,0.0
2013-06-04,1436720000.0,0.0,1357019269.916153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79700730.08384705,0.0,0.0,0.0,0.0
2013-06-05,1435875008.0,0.0,1364159092.7036283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71715915.29637146,0.0,0.0,0.0,0.0
2013-06-06,1435030016.0,0.0,1371298915.491104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63731100.50889611,0.0,0.0,0.0,0.0
2013-06-07,1369630016.0,0.0,1310464295.245552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59165720.75444794,0.0,0.0,0.0,0.0
2013-06-08,1304230016.0,0.0,1249629675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54600341.0,0.0,0.0,0.0,0.0
